n,N,reps,n_fail
1766,83,100000,85981
917,27,100000,32256
38318845,56,100000,1
26,52,100000,100000
448,76,100000,99894
21079617,4,100000,0
14421,86,100000,22375
44265190,73,100000,6
34,99,100000,100000
32123,10,100000,133
936,94,100000,99199
103458,18,100000,138
173187,50,100000,707
3451,19,100000,4813
187310254,98,100000,1
19905,77,100000,13753
25903749,66,100000,7
409884155,18,100000,0
14281,94,100000,26484
1273240716,20,100000,0
4782,61,100000,32141
23046,83,100000,13916
49,21,100000,99365
16872,33,100000,3040
5320,29,100000,7442
56,88,100000,100000
13868,45,100000,7031
32494697,7,100000,0
8002271,14,100000,0
126622757,24,100000,0
11978,53,100000,10911
326746732,58,100000,0
37926,50,100000,3147
982,20,100000,17457
1022,6,100000,1490
4829,18,100000,3102
167,68,100000,100000
20101,65,100000,9956
2822,17,100000,4752
1226773,59,100000,135
8338985,77,100000,33
547,66,100000,98318
4510,35,100000,12315
1883476937,71,100000,1
1201750,26,100000,21
179746969,90,100000,1
445103578,63,100000,0
209,53,100000,99920
240832,72,100000,1060
611,27,100000,43837
1083,89,100000,97547
706,61,100000,93038
85597676,21,100000,0
233,38,100000,95970
712,36,100000,59207
4121543458,57,100000,0
10945,68,100000,18531
139,49,100000,99993
187310254,43,100000,2
44,56,100000,100000
349,85,100000,99998
5758,49,100000,18397
35286814,41,100000,3
35767,36,100000,1753
540,80,100000,99797
152426916,57,100000,2
3298858,66,100000,74
3298858,97,100000,145
79,39,100000,100000
456210,87,100000,816
21605,73,100000,11569
27,94,100000,100000
74,99,100000,100000
256191,86,100000,1397
106,19,100000,82042
14546648,84,100000,24
703257,53,100000,195
2695,37,100000,22149
61205,17,100000,254
2786185932,68,100000,0
463,36,100000,75258
3523,66,100000,45755
32,73,100000,100000
316,46,100000,96900
11127896,59,100000,8
9873,47,100000,10430
109612944,43,100000,1
7947,63,100000,21645
700423713,14,100000,0
249954752,64,100000,0
345,86,100000,99999
2485,64,100000,56031
705,95,100000,99879
51134293,63,100000,2
207640228,71,100000,1
6020,39,100000,11516
7947,37,100000,8148
122,28,100000,96556
45,44,100000,100000
314821,68,100000,707
481,67,100000,99210
3533,51,100000,30305
58098,9,100000,65
20228457,82,100000,12
4070,81,100000,55083
10038368,12,100000,4
1928,94,100000,89830
4207361924,39,100000,0
83,62,100000,100000
6274,83,100000,42121
350,23,100000,52229
1221829314,7,100000,0
2822,57,100000,43377
109612944,39,100000,0
4053812,62,100000,40
22423980,58,100000,2
21605,12,100000,295
16696,60,100000,10180
2061,65,100000,63947
355,61,100000,99565
515,39,100000,77130
